id,date,primary_type,arrest
11938251,2020-01-01T07:26:00Z,WEAPONS VIOLATION,FALSE
11938253,2020-01-01T09:15:00Z,ASSAULT,TRUE
11938259,2020-01-01T08:15:00Z,ROBBERY,FALSE
11938260,2020-01-01T08:44:00Z,CRIMINAL TRESPASS,TRUE
11938261,2020-01-01T09:23:00Z,BATTERY,FALSE
11938263,2020-01-01T08:05:00Z,WEAPONS VIOLATION,TRUE
11938272,2020-01-01T10:00:00Z,ROBBERY,FALSE
11938273,2020-01-01T09:00:00Z,BATTERY,FALSE
11938275,2020-01-01T10:36:00Z,ASSAULT,TRUE
11938276,2020-01-01T09:16:00Z,PUBLIC PEACE VIOLATION,TRUE
11938277,2020-01-01T06:30:00Z,BATTERY,TRUE
11938278,2020-01-01T07:34:00Z,LIQUOR LAW VIOLATION,TRUE
11938281,2020-01-01T10:00:00Z,BATTERY,FALSE
11938282,2020-01-01T07:32:00Z,PUBLIC PEACE VIOLATION,TRUE
11938283,2020-01-01T09:30:00Z,OTHER OFFENSE,FALSE
11938284,2020-01-01T09:40:00Z,BATTERY,FALSE
11938285,2020-01-01T06:20:00Z,BATTERY,FALSE
11938288,2020-01-01T09:50:00Z,CRIMINAL SEXUAL ASSAULT,FALSE
11938292,2020-01-01T10:36:00Z,WEAPONS VIOLATION,TRUE
11938295,2020-01-01T11:00:00Z,BATTERY,TRUE
11938299,2020-01-01T12:45:00Z,OTHER OFFENSE,FALSE
11938302,2020-01-01T11:54:00Z,BATTERY,TRUE
11938307,2020-01-01T10:20:00Z,BATTERY,FALSE
11938310,2020-01-01T11:00:00Z,BATTERY,FALSE
11938311,2020-01-01T08:00:00Z,THEFT,FALSE
11938314,2020-01-01T06:01:00Z,THEFT,FALSE
11938315,2020-01-01T10:32:00Z,BATTERY,FALSE
11938316,2020-01-01T09:30:00Z,BATTERY,TRUE
11938317,2020-01-01T11:43:00Z,BATTERY,FALSE
11938318,2020-01-01T11:34:00Z,WEAPONS VIOLATION,TRUE
11938327,2020-01-01T06:48:00Z,BATTERY,FALSE
11938329,2020-01-01T06:45:00Z,MOTOR VEHICLE THEFT,FALSE
11938330,2020-01-01T10:59:00Z,BATTERY,FALSE
11938333,2020-01-01T09:16:00Z,WEAPONS VIOLATION,TRUE
11938334,2020-01-01T08:43:00Z,CRIMINAL DAMAGE,FALSE
11938337,2020-01-01T08:00:00Z,CRIMINAL DAMAGE,FALSE
11938343,2020-01-01T11:15:00Z,ROBBERY,FALSE
11938345,2020-01-01T09:21:00Z,WEAPONS VIOLATION,TRUE
